epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
228,1878.6714436848958,1878.6714436848958,3483.7884632240643,3483.7884632240643
229,1731.4337581380207,1731.4337581380207,3787.648650776256,3787.648650776256
230,1885.5799934895833,1885.5799934895833,3619.676307071339,3619.676307071339
231,1805.7327465820313,1805.7327465820313,4688.016420884566,4688.016420884566
232,1746.282285970052,1746.282285970052,3230.9962610764937,3230.9962610764937
233,1701.0174816894532,1701.0174816894532,3933.416229941628,3933.416229941628
234,1716.297763264974,1716.297763264974,3580.927352005785,3580.927352005785
235,1862.448103841146,1862.448103841146,3659.976744218306,3659.976744218306
236,1786.7784220377605,1786.7784220377605,3624.3547016815705,3624.3547016815705
237,1851.3082299804687,1851.3082299804687,3911.107855016535,3911.107855016535
238,1775.0528955078125,1775.0528955078125,3514.078598542647,3514.078598542647
239,1857.319464518229,1857.319464518229,2977.503214088353,2977.503214088353
240,1783.2859680175782,1783.2859680175782,3271.1649408340454,3271.1649408340454
241,1674.825459798177,1674.825459798177,3060.682875546542,3060.682875546542
242,1865.5352600097656,1865.5352600097656,3563.786413366144,3563.786413366144
243,1910.2772867838542,1910.2772867838542,3241.1683523004704,3241.1683523004704
244,1880.8660913085937,1880.8660913085937,3700.606217471036,3700.606217471036
245,1831.905419108073,1831.905419108073,3572.8405182144857,3572.8405182144857
246,1815.6811442057292,1815.6811442057292,3361.600245670839,3361.600245670839
247,1855.1911287434896,1855.1911287434896,3586.782657281919,3586.782657281919
248,1783.7423844401042,1783.7423844401042,3753.251847939058,3753.251847939058
249,1823.0163704427084,1823.0163704427084,3812.716745549982,3812.716745549982
250,1723.399110514323,1723.399110514323,3657.5486635728316,3657.5486635728316
251,1784.1404418945312,1784.1404418945312,3780.7230023470793,3780.7230023470793
252,1895.0163102213542,1895.0163102213542,3358.141040108421,3358.141040108421
253,1780.1613557942708,1780.1613557942708,3812.6448790810323,3812.6448790810323
254,1977.8438802083333,1977.8438802083333,3628.625570123846,3628.625570123846
255,1784.628809000651,1784.628809000651,2854.5098746039653,2854.5098746039653
256,1850.0561360677084,1850.0561360677084,3029.7502743114123,3029.7502743114123
257,1985.1088126627603,1985.1088126627603,4321.774463480169,4321.774463480169
258,1993.06306640625,1993.06306640625,3305.508556669409,3305.508556669409
259,1764.5080721028646,1764.5080721028646,3391.603605703874,3391.603605703874
260,1711.8115861002605,1711.8115861002605,3313.725916152651,3313.725916152651
261,1891.5912158203125,1891.5912158203125,3980.055280598727,3980.055280598727
262,1839.9848551432292,1839.9848551432292,3254.26669728485,3254.26669728485
263,1840.4398844401042,1840.4398844401042,3589.795074722984,3589.795074722984
264,1787.5461889648439,1787.5461889648439,3451.376215451651,3451.376215451651
265,1664.8027799479166,1664.8027799479166,3937.322727029974,3937.322727029974
266,1807.9194596354166,1807.9194596354166,3083.0687219012866,3083.0687219012866
267,1990.69357421875,1990.69357421875,2901.627989422191,2901.627989422191
268,1779.2962438964844,1779.2962438964844,3681.6586832566695,3681.6586832566695
269,1807.8941821289063,1807.8941821289063,3642.5610240020537,3642.5610240020537
270,1819.0742903645832,1819.0742903645832,3995.85622215271,3995.85622215271
271,1836.2391650390625,1836.2391650390625,2534.7925415039062,2534.7925415039062
272,1863.631084798177,1863.631084798177,3893.196610710838,3893.196610710838
273,1769.0764379882812,1769.0764379882812,3427.069875910878,3427.069875910878
274,1793.0981827799478,1793.0981827799478,3351.580329136415,3351.580329136415
275,1831.4019466145833,1831.4019466145833,3389.502450422807,3389.502450422807
276,1743.962313639323,1743.962313639323,3621.62946917794,3621.62946917794
277,1764.9200325520833,1764.9200325520833,3362.1990441409025,3362.1990441409025
278,1775.4225740559896,1775.4225740559896,3628.1984298473053,3628.1984298473053
279,1763.2990653483073,1763.2990653483073,4331.5008811408825,4331.5008811408825
280,1717.2336645507812,1717.2336645507812,3299.8222573020244,3299.8222573020244
281,1787.1655830891928,1787.1655830891928,3418.5402272858405,3418.5402272858405
282,1736.71486328125,1736.71486328125,3337.2945336428556,3337.2945336428556
283,1842.379375813802,1842.379375813802,3272.1398455879903,3272.1398455879903
284,1815.113867594401,1815.113867594401,3765.7253955494275,3765.7253955494275
285,1814.8626049804689,1814.8626049804689,3410.3935260339217,3410.3935260339217
286,1757.0095926920574,1757.0095926920574,4242.515264034271,4242.515264034271
287,1987.4276501464844,1987.4276501464844,3511.55270468105,3511.55270468105
288,1783.0540519205729,1783.0540519205729,3493.7241133912044,3493.7241133912044
